opponent_team_name,opponent_team_alias,lakers_score,opponent_score,game_location,game_date,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,pls_min,points,double_double,triple_double,effective_fg_pct,efficiency,efficiency_game_score,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,fouls_drawn,offensive_fouls,points_off_turnovers,second_chance_pts,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,defensive_rating,offensive_rating,coach_ejections,minus,plus,defensive_rebounds_pct,offensive_rebounds_pct,rebounds_pct,steals_pct,turnovers_pct,coach_tech_fouls,second_chance_att,second_chance_made,second_chance_pct
Warriors,GSW,109,123,away,2022-10-19T02:00:00+00:00,35:12,12,26,46.2,3,10,30.0,9,16,56.3,1,4,4,100.0,5,10,15,8,5,0,0,1.6,2,0,0,-10,31,True,False,51.9,36,23.9,18,14,9,64.3,27.76,55.8,4,0,9,2,11,7,5,71.4,110.3144926173,108.697081906193,0,93,83,27.2727272727273,14.8221343873518,21.3068181818182,0.0,15.2625152625153,0,4,1,25.0
Clippers,LAC,97,103,home,2022-10-21T02:00:00+00:00,36:40,7,17,41.2,2,8,25.0,5,9,55.6,0,4,6,66.7,2,8,10,6,2,1,2,3.0,3,0,0,-1,20,True,False,47.1,29,17.3,8,8,4,50.0,19.64,50.9,7,1,6,2,2,4,1,25.0,96.9169069276323,102.244362982465,0,69,68,26.1818181818182,4.67532467532468,13.6363636363636,1.22757962217827,9.24214417744917,0,1,0,0.0
Trail Blazers,POR,104,106,home,2022-10-23T19:30:00+00:00,37:43,12,22,54.5,2,9,22.2,10,13,76.9,1,5,7,71.4,1,7,8,8,4,2,2,2.0,3,0,0,2,31,False,False,59.1,36,26.2,20,12,10,83.3,25.08,61.8,5,1,5,0,5,5,2,40.0,101.67906446056,113.587444733868,0,85,87,20.7175081441593,2.59723863031735,11.0664950335261,2.49832534129466,13.7551581843191,0,2,0,0.0
Nuggets,DEN,99,110,away,2022-10-27T02:00:00+00:00,35:18,8,21,38.1,2,8,25.0,6,13,46.2,0,1,2,50.0,2,5,7,9,8,1,0,1.13,1,0,0,-7,19,False,False,42.9,15,8.9,12,13,6,46.2,21.88,43.4,2,0,3,2,7,5,3,60.0,109.627402266381,76.2605434113081,0,83,76,13.8747144121284,5.22970004764838,9.42381592744559,1.31704960518072,26.7737617135208,0,2,1,50.0
Timberwolves,MIN,102,111,away,2022-10-29T00:00:00+00:00,37:27,10,24,41.7,1,6,16.7,9,18,50.0,1,7,8,87.5,3,4,7,5,3,4,0,1.67,2,0,0,-13,28,False,False,43.8,31,21.8,18,17,9,52.9,27.52,50.9,8,0,3,4,6,4,2,50.0,103.427581250702,107.245761907623,0,87,74,8.99468891727838,8.18133938752448,8.62711749517806,4.85692751311924,9.82961992136304,0,3,2,66.7
Nuggets,DEN,121,110,home,2022-10-31T01:30:00+00:00,34:42,10,22,45.5,2,5,40.0,8,17,47.1,3,4,5,80.0,0,6,6,8,3,1,0,2.67,1,0,0,-1,26,False,False,50.0,24,19.2,8,13,4,30.8,24.2,53.7,3,0,2,6,0,4,0,0.0,111.744250503636,112.331246257986,0,86,85,16.2737884079771,0.0,8.38346675562456,1.38437951829269,11.0294117647059,0,3,3,100.0
Pelicans,NOP,120,117,home,2022-11-03T02:30:00+00:00,39:43,9,23,39.1,0,7,0.0,9,16,56.3,2,2,4,50.0,0,10,10,8,2,0,2,4.0,3,0,0,5,20,True,False,39.1,21,13.5,16,11,8,72.7,24.76,40.4,4,0,1,2,4,2,2,100.0,102.518400638903,90.2751034280047,0,93,98,23.8295066243031,0.0,12.4715174856166,0.0,7.47384155455904,0,1,1,100.0
Jazz,UTA,116,130,home,2022-11-05T02:30:00+00:00,34:09,7,19,36.8,0,5,0.0,7,14,50.0,0,3,5,60.0,2,8,10,8,3,0,1,2.67,3,0,0,-11,17,True,False,36.8,21,11.6,12,12,6,50.0,21.2,40.1,5,1,2,4,4,3,2,66.7,129.463435792952,94.34046922667,0,91,80,24.443631542809,6.692899112912,15.9716910649036,0.0,12.396694214876,0,3,2,66.7
Cavaliers,CLE,100,114,home,2022-11-06T20:30:00+00:00,33:49,13,23,56.5,1,4,25.0,12,19,63.2,1,0,3,0.0,2,5,7,4,1,0,0,4.0,0,0,0,-8,27,False,False,58.7,27,19.6,22,13,11,84.6,24.32,55.5,4,0,0,4,6,5,3,60.0,113.503694883084,111.141973553968,0,81,73,16.8978384848271,5.79354462336931,10.9186033286575,0.0,3.94944707740916,0,4,2,50.0
Jazz,UTA,116,139,away,2022-11-08T03:15:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
